,location,decision_time,building damage issues,medical issues,power issues,road issues,water issues,min_sentiment_score,min_sentiment_issues,area_pct,building damage issues area adjusted,medical issues area adjusted,power issues area adjusted,road issues area adjusted,water issues area adjusted,min_sentiment_score area adjusted
0,Broadview,2020-04-06 01:00:00,,,,,,,,10.583,,,,,,
1,Broadview,2020-04-06 02:00:00,,,,,,,,10.583,,,,,,
2,Broadview,2020-04-06 03:00:00,,,,,,,,10.583,,,,,,
3,Broadview,2020-04-06 04:00:00,,0.3135677776299417,,,,0.3135677776299417,medical issues,10.583,,0.03318487790657673,,,,0.03318487790657673
4,Broadview,2020-04-06 05:00:00,,0.35209425790789384,,,,0.35209425790789384,medical issues,10.583,,0.0372621353143924,,,,0.0372621353143924
5,Broadview,2020-04-06 06:00:00,0.6941364221274853,0.3884584130002907,,,,0.3884584130002907,medical issues,10.583,0.07346045755375177,0.041110553847820766,,,,0.041110553847820766
6,Broadview,2020-04-06 07:00:00,0.7113032256612165,0.4227816048943773,,,,0.4227816048943773,medical issues,10.583,0.07527722037172654,0.044742977245971954,,,,0.044742977245971954
7,Broadview,2020-04-06 08:00:00,0.7275065305475588,0.11341255623847246,0.2954855253919959,0.297029881272465,0.1679751540068537,0.11341255623847246,medical issues,10.583,0.07699201612784815,0.012002450826717541,0.03127123315223493,0.03143467233506497,0.017776810548545328,0.012002450826717541
8,Broadview,2020-04-06 09:00:00,0.06157632655231282,0.16317288588736856,0.9070877617535492,0.33648456235027935,0.5173096875660121,0.06157632655231282,building damage issues,10.583,0.006516622639031267,0.017268586513460214,0.09599709782637811,0.035610161233530065,0.054746884235111065,0.006516622639031267
9,Broadview,2020-04-06 10:00:00,0.4526055436581373,0.21014038283353498,0.9123025249854135,0.37372482233467696,0.29441978968679905,0.21014038283353498,medical issues,10.583,0.047899244685340674,0.022239156715273007,0.09654897621920633,0.039551297947678865,0.031158446342553946,0.022239156715273007
10,Broadview,2020-04-06 11:00:00,0.30734012136235833,0.2544717967319773,0.2692662999033928,0.4088749471315377,0.33402096394882264,0.2544717967319773,medical issues,10.583,0.03252580504377838,0.026930750248145157,0.028496452518776062,0.043271235654930636,0.035349438614703896,0.026930750248145157
11,Broadview,2020-04-06 12:00:00,0.3462161331287107,0.5655381339602172,0.31027923106796407,0.44205224701485035,0.24229951296001673,0.24229951296001673,water issues,10.583,0.03664005336901145,0.05985090071700979,0.032836851023922635,0.046782389301581614,0.025642557456558572,0.025642557456558572
12,Broadview,2020-04-06 13:00:00,0.4293050393462181,0.3371368292719126,0.23067064804490656,0.26498539093881845,0.2848259735765514,0.23067064804490656,power issues,10.583,0.045433352314010265,0.035679190641846506,0.024411874682592462,0.028043403923055158,0.030143132783606433,0.024411874682592462
13,Broadview,2020-04-06 14:00:00,0.36630865233018994,0.3743404803270184,0.27384978669753346,0.7372894659638405,0.32496560736176816,0.27384978669753346,power issues,10.583,0.038766444676104,0.039616453033008356,0.028981522926199967,0.07802734418295323,0.03439111022709593,0.028981522926199967
14,Broadview,2020-04-06 15:00:00,0.32248097813377785,0.4094560508959061,0.37102987617254257,0.15812701382674277,0.5436952279414982,0.15812701382674277,road issues,10.583,0.03412816191589771,0.04333273386631374,0.03926609179534018,0.016734581873284186,0.057539265973048745,0.016734581873284186
15,Broadview,2020-04-06 16:00:00,0.25869924814573353,0.1581765739247203,0.27924517792416736,0.7235557185485959,0.17970400652848184,0.1581765739247203,medical issues,10.583,0.027378141431262982,0.01673982681845315,0.029552517179714632,0.0765739016939979,0.019018075010909234,0.01673982681845315
16,Broadview,2020-04-06 17:00:00,0.5786076737567782,0.39907838217914104,0.1663403632119298,0.5362419970333576,0.2257436829665238,0.1663403632119298,power issues,10.583,0.06123405011367984,0.0422344651860185,0.01760380063871853,0.05675049054604024,0.023890453968347214,0.01760380063871853
17,Broadview,2020-04-06 18:00:00,0.6022586076978391,0.43280552100376546,0.21313008331619,0.29779899027198553,0.6047346536070108,0.21313008331619,power issues,10.583,0.06373702845266233,0.045803808287828505,0.022555556717352387,0.03151606714048423,0.06399906839122996,0.022555556717352387
18,Broadview,2020-04-06 19:00:00,0.6245821167157382,0.8849097064230591,0.25729369822016745,0.23882886581122875,0.6269191928464258,0.23882886581122875,road issues,10.583,0.06609952541202657,0.09364999423075235,0.02722939208264032,0.02527525886880234,0.06634685817893725,0.02527525886880234
19,Broadview,2020-04-06 20:00:00,0.645652703446651,0.8913692282537306,0.2989785998831981,0.2815501188844284,0.5818482041358948,0.2815501188844284,road issues,10.583,0.06832942560575908,0.09433360542609232,0.03164090522563885,0.02979644908153906,0.061576995443701744,0.02979644908153906
20,Broadview,2020-04-06 21:00:00,0.6655406890150914,0.897466204981908,0.3383239077895951,0.3218736122657955,0.6053172610821518,0.3218736122657955,road issues,10.583,0.07043417111846713,0.09497884847323533,0.03580481916137285,0.034063884386089135,0.06406072574032412,0.034063884386089135
21,Broadview,2020-04-06 22:00:00,0.6843124477241267,0.9032209847006528,0.37546093324699525,0.3599339218660582,0.7487226189114153,0.3599339218660582,road issues,10.583,0.07242078634264433,0.0955878768108701,0.03973503056552951,0.038091806951084946,0.07923731475939508,0.038091806951084946
